tweet_id,favorites,retweets
841439858740625411,13212,3925
841320156043304961,20665,5810
841314665196081154,16568,5022
841077006473256960,23953,5679
840761248237133825,0,1877
840728873075638272,0,17341
840698636975636481,187,2
840696689258311684,12878,1047
840632337062862849,9399,1877
840370681858686976,17251,4879
840268004936019968,20204,6146
839990271299457024,14075,2464
839549326359670784,28869,8345
839290600511926273,0,154
839239871831150596,28552,7017
838952994649550848,20573,4262
838921590096166913,11724,2231
838916489579200512,0,36
838831947270979586,0,11873
838561493054533637,11458,1423
838476387338051585,23719,5170
838201503651401729,0,10841
838150277551247360,1767,354
838085839343206401,149,0
838083903487373313,18523,3391
837820167694528512,35929,8450
837482249356513284,4028,476
837471256429613056,13439,2465
837366284874571778,22209,5696
837110210464448512,16836,2575
836989968035819520,13379,2472
836753516572119041,20206,4969
836677758902222849,13256,2392
836648853927522308,0,591
836397794269200385,0,29756
836380477523124226,15477,3185
836260088725786625,22369,4623
836001077879255040,20110,4624
835685285446955009,0,8791
835574547218894849,18721,3905
835536468978302976,0,1837
835309094223372289,0,22661
835297930240217089,17279,3229
835264098648616962,8157,1837
835246439529840640,2198,78
835172783151792128,27518,6190
835152434251116546,23642,3253
834931633769889797,11416,1783
834786237630337024,22287,5910
834574053763584002,14418,2734
834477809192075265,0,11522
834458053273591808,10133,1810
834209720923721728,21710,5165
834167344700198914,16607,3927
834089966724603904,10581,2290
834086379323871233,13772,2397
833863086058651648,14128,2598
833826103416520705,18947,4037
833732339549220864,0,233
833722901757046785,21819,3468
833479644947025920,15668,2235
833124694597443584,21282,5235
832998151111966721,14023,2395
832769181346996225,0,40
832757312314028032,17746,3921
832682457690300417,12527,3173
832645525019123713,3085,563
832636094638288896,16740,3030
832397543355072512,12596,2404
832369877331693569,18107,3448
832273440279240704,11933,2524
832215909146226688,0,6698
832215726631055365,0,10157
832088576586297345,70,2
832040443403784192,0,10519
832032802820481025,18822,5025
831939777352105988,25339,6639
831926988323639298,360,35
831911600680497154,29213,7056
831670449226514432,11028,1962
831650051525054464,7578,2103
831552930092285952,9510,2485
831322785565769729,9715,1652
831315979191906304,6896,1210
831309418084069378,12391,2640
831262627380748289,12579,2224
830956169170665475,8421,1621
830583320585068544,70728,18246
830173239259324417,0,6186
830097400375152640,10379,3258
829878982036299777,0,5439
829861396166877184,12926,2123
829501995190984704,33573,11522
829449946868879360,11068,2204
829374341691346946,36608,10118
829141528400556032,25923,8046
829011960981237760,56079,17609
828801551087042563,0,3691
828770345708580865,27064,6367
828708714936930305,38756,12198
828650029636317184,10056,1462
828409743546925057,6662,1248
828408677031882754,8100,1394
828381636999917570,13372,2416
828376505180889089,7815,1153
828372645993398273,13266,3196
828361771580813312,2322,184
828046555563323392,12452,3108
828011680017821696,10979,2335
827933404142436356,21335,5679
827653905312006145,16336,3267
827600520311402496,7846,1030
827324948884643840,16812,3333
827199976799354881,11208,2439
826958653328592898,22874,5439
